#Genus	Species	Strain	NCBI accession	Cluster number	BGC type	From	To	On contig edge	Fast mode only	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Streptomyces	silaceus	ACCC40021	NZ_LIRJ01000051.0	40	blactam	31580	43173	True	True	Alanylclavam	66	BGC0000841_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001419745/40	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001419745/cluster/40
Streptomyces	silaceus	ACCC40021	NZ_LIRJ01000602.0	45	blactam	0	1860	True	True	Clavulanicacid	8	BGC0000845_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001419745/45	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001419745/cluster/45
Amycolatopsis	regifaucium	DSM 45072	NZ_FOPQ01000008.0	19	blactam-t1pks hybrid	1242	48581	False	True	Neocarzinostatin	23	BGC0000112_c1	https://antismash-db.secondarymetabolites.org/go/GCF_900113515/19	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900113515/cluster/19
Photorhabdus	temperata	J3	NZ_AXDT01000138.0	18	blactam	18470	34449	True	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000478765/18	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000478765/cluster/18
Yuhushiella	deserti	CGMCC 4.5579	NZ_FOWW01000002.0	15	blactam-nrps hybrid	568225	629052	False	True	Lidamycin	20	BGC0001397_c1	https://antismash-db.secondarymetabolites.org/go/GCF_900115565/15	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900115565/cluster/15
Micromonospora	yangpuensis	DSM 45577	NZ_FMIA01000002.0	5	blactam	1690587	1712423	False	True	Tabtoxin	18	BGC0000846_c1	https://antismash-db.secondarymetabolites.org/go/GCF_900091615/5	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900091615/cluster/5
Xenorhabdus	Unclassified	GDc328	NZ_LGYQ01000283.0	20	blactam	875	20097	True	True	Tabtoxin	22	BGC0000846_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001275405/20	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001275405/cluster/20
Actinokineospora	spheciospongiae	EG49	NZ_AYXG01000004.0	3	blactam-nrps hybrid	25069	79254	False	True	A-503083	34	BGC0000288_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000564855/3	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000564855/cluster/3
Streptomyces	Unclassified	RV15	NZ_KQ949102.1	23	blactam-butyrolactone-nrps-t1pks hybrid	23659	111274	False	True	Clavulanicacid	16	BGC0000845_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001514305/23	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001514305/cluster/23
Streptomyces	Unclassified	SceaMP-e96	NZ_FMHL01000010.0	14	blactam	185858	209360	False	True	Clavams	71	BGC0001151_c1	https://antismash-db.secondarymetabolites.org/go/GCF_900090095/14	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900090095/cluster/14
Streptomyces	Unclassified	FxanaC1	NZ_AQWO01000011.0	13	blactam	189396	212898	False	True	Clavams	71	BGC0001151_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000375625/13	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000375625/cluster/13
Streptomyces	Unclassified	PRh5	NZ_JABQ01000069.0	36	blactam	0	15761	True	True	Clavulanicacid	20	BGC0000845_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000590515/36	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000590515/cluster/36
Streptomyces	Unclassified	ERV7	NZ_LYOY01000029.0	9	blactam	98219	119203	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_001653515/9	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001653515/cluster/9
Streptomyces	Unclassified	WM6368	NZ_LGDA01000253.0	25	blactam	7497	29327	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_001279625/25	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001279625/cluster/25
Caballeronia	jiangsuensis	MP-1	NZ_JFHF01000001.0	1	blactam	455325	476828	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000648925/1	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000648925/cluster/1
Streptomyces	Unclassified	NRRL B-24051	NZ_JOAE01000011.0	13	blactam	176312	199810	False	True	Clavulanicacid	20	BGC0000845_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000720405/13	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000720405/cluster/13
Streptomyces	Unclassified	NRRL B-24051	NZ_JOAE01000016.0	19	blactam-nrps-t1pks hybrid	42690	151988	True	True	CarbapenemMM4550	65	BGC0000842_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000720405/19	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000720405/cluster/19
Streptomyces	Unclassified	NRRL S-118	NZ_KL591004.1	5	blactam	405075	426914	False	True	Tabtoxin	22	BGC0000846_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000716335/5	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000716335/cluster/5
Streptomyces	Unclassified	NRRL S-31	NZ_JOCB01000024.0	18	blactam	58125	81616	False	True	Clavulanicacid	20	BGC0000845_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000718775/18	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000718775/cluster/18
Streptomyces	Unclassified	NRRL S-325	NZ_JOIW01000005.0	11	blactam	176173	199671	False	True	Clavulanicacid	20	BGC0000845_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000721595/11	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000721595/cluster/11
Streptomyces	Unclassified	NRRL S-325	NZ_JOIW01000005.0	15	blactam-nrps-t1pks hybrid	644254	755221	True	True	CarbapenemMM4550	65	BGC0000842_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000721595/15	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000721595/cluster/15
Streptomyces	papulosa	NRRL B-16504	NZ_JNYQ01000008.0	15	blactam	199460	222958	False	True	Clavulanicacid	20	BGC0000845_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000717245/15	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000717245/cluster/15
Streptomyces	papulosa	NRRL B-16504	NZ_JNYQ01000012.0	20	blactam-nrps-t1pks hybrid	216189	325504	True	True	CarbapenemMM4550	65	BGC0000842_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000717245/20	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000717245/cluster/20
Streptomyces	Unclassified	NRRL B-1347	NZ_JOJM01000010.0	14	blactam-lantipeptide-nrps hybrid	2890	70807	False	True	Kanamycin	4	BGC0000703_c1	https://antismash-db.secondarymetabolites.org/go/GCF_000720325/14	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000720325/cluster/14
Streptomyces	Unclassified	MBT76	NZ_LNBE01000002.0	4	blactam-nrps-t1pks hybrid	65541	139409	False	True	Tabtoxin	13	BGC0000846_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001445655/4	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001445655/cluster/4
Dickeya	Unclassified	2B12	NZ_JSYG01000021.0	2	blactam	61703	83212	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_000784735/2	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000784735/cluster/2
Streptomyces	Unclassified	NRRL F-4489	NZ_LLZI01000237.0	21	blactam	21322	43164	False	True	Tabtoxin	13	BGC0000846_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001509485/21	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001509485/cluster/21
Streptomyces	Unclassified	CB02460	NZ_LIVY01000010.0	2	blactam	121450	143289	False	True	Tabtoxin	13	BGC0000846_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001905705/2	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001905705/cluster/2
Streptomyces	Unclassified	Root55	NZ_LMFT01000005.0	10	blactam-thiopeptide hybrid	186648	231125	False	True	Clavulanicacid	20	BGC0000845_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001427245/10	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001427245/cluster/10
Streptomyces	Unclassified	YR375	NZ_FOFF01000009.0	7	blactam-nrps-t1pks hybrid	37077	149685	False	True	Antimycin	93	BGC0000958_c1	https://antismash-db.secondarymetabolites.org/go/GCF_900110755/7	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900110755/cluster/7
Streptomyces	Unclassified	YR375	NZ_FOFF01000002.0	20	blactam-butyrolactone-t2pks hybrid	171911	246076	False	True	Sporepigment	83	BGC0000271_c1	https://antismash-db.secondarymetabolites.org/go/GCF_900110755/20	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900110755/cluster/20
Vibrio	Unclassified	MEBiC08052	NZ_KQ947477.1	12	blactam	68711	90223	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_001506075/12	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001506075/cluster/12
Pseudomonas	Unclassified	BIOMIG1N	NZ_MCRV01000234.0	17	blactam	16685	38551	False	True	Tabtoxin	27	BGC0000846_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001705835/17	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001705835/cluster/17
Streptomyces	silvensis	ATCC 53525	NZ_LOCL01000036.0	23	bacteriocin-blactam-nrps hybrid	0	106574	True	True	Endophenazines	21	BGC0000934_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001482415/23	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001482415/cluster/23
Caballeronia	pedi	None	NZ_FCOE02000001.0	7	blactam	419431	440934	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_001544915/7	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001544915/cluster/7
Mycobacterium	Unclassified	E3247	NZ_LZJG01000184.0	17	blactam	8726	27851	True	True	Clavams	35	BGC0001151_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001667785/17	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001667785/cluster/17
Streptomyces	Unclassified	LUP30	NZ_MJAJ01000006.0	32	blactam	99773	121615	False	True	Tabtoxin	13	BGC0000846_c1	https://antismash-db.secondarymetabolites.org/go/GCF_001746365/32	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001746365/cluster/32
Vibrio	spartinae	CECT 9026	NZ_FSSB01000006.0	12	blactam	73172	94684	False	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_900149295/12	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900149295/cluster/12
Photorhabdus	laumondii	HP88	NZ_LJPB01000279.0	23	blactam	4154	19162	True	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/GCF_001473245/23	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001473245/cluster/23
